Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. julii ssp. julii,C063,FALSE,julii,,W,,ssp. julii, ,,"60 km SE of Warmbad, Namibia",,,,
L. julii ssp. julii,C064,FALSE,julii,,W,,ssp. julii, ,,"Near Karasburg, Namibia",,,,
L. julii ssp. julii,C183,FALSE,julii,,W,,ssp. julii, ,,"25 km SE of Warmbad, Namibia",,,,
L. julii ssp. julii,C297,FALSE,julii,,W,,ssp. julii, ,,"45 km SE of Warmbad, Namibia",,,,
L. julii ssp. julii,C349,FALSE,julii,,W,,ssp. julii, ,,"45 km SE of Warmbad, Namibia",,,,
L. julii ssp. julii 'Peppermint Crème',C297A,FALSE,julii,,W,,ssp. julii,,,"TL: 45 km SE of Warmbad, Namibia",,'Peppermint Crème',,'Peppermint Crème'
L. julii ssp. julii (syn. chrysocephala),C205,FALSE,julii,,W,,ssp. julii,,,"50 km SE of Warmbad, Namibia",,,(syn. chrysocephala),(syn. chrysocephala)
L. julii ssp. julii (syn. littlewoodii),C218,FALSE,julii,,W,,ssp. julii,,,"TL: 40 km WSW of Warmbad, Namibia",,,(syn. littlewoodii),(syn. littlewoodii)
L. karasmontana ssp. bella,C108,FALSE,karasmontana,,W,,ssp. bella, ,,"TL: 5 km S of Aus, Namibia",,,,
L. karasmontana ssp. bella,C143A,TRUE,karasmontana,,W,,ssp. bella, ,,"60 km NNE of Aus, Namibia",,,,
L. karasmontana ssp. bella,C285,FALSE,karasmontana,,W,,ssp. bella, ,,"Near Aus, Namibia",,,,
L. karasmontana ssp. bella,C295,FALSE,karasmontana,,W,,ssp. bella, ,,"115 km SSE of Aus, Namibia",,,,
L. karasmontana ssp. eberlanzii,C082,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"35 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C208,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"10 km S of Aus, Namibia",,,,
L. karasmontana ssp. eberlanzii,C369,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"TL: 20 km E of Lüderitz, Namibia",,,,
L. karasmontana ssp. eberlanzii,C370,FALSE,karasmontana,,W,,ssp. eberlanzii, ,,"35 km E of Lüderitz, Namibia",,,,
