13302	IB 08971	Haworthia	fusca	Haworthialand		W of Paulsfontein	
13401	GM 584	Haworthia	kingiana	Haworthialand		Rooiheuwel, N. Klein Brakrivier	
13501	GGS 5489	Haworthia	dekenahii	Haworthialand		Draaihoek, N of Albertinia	
13601	KF 2277	Haworthia	pygmaea hyb.	KF			
13602	KF 2272	Haworthia	pygmaea hyb.	KF			
13603	KF 2274	Haworthia	pygmaea hyb.	KF			
13604	KF 2373	Haworthia	pygmaea hyb.	KF			
13605	KF 1870	Haworthia	pygmaea hyb.	KF			
13606	KF 2271	Haworthia	pygmaea hyb.	KF			
13607	KF 2275	Haworthia	pygmaea hyb.	KF			
13608		Haworthia	pygmaea hyb.	Lyndsey			proliferative, papillous
13609		Haworthia	pygmaea hyb.	Lyndsey			papillous
1360A		Haworthia	pygmaea hyb.	Lyndsey			more smooth
1360B	KF 2270	Haworthia	pygmaea hyb.	KF			
13701	KF 2268	Haworthia	magnifica hyb.	KF			
13801	GM 768	Haworthia	asperata aff.	Kambroo		Towerlands, W of Herbertsdale	
13901		Haworthia	acuminata hyb.	Costa Plants			
13A01	BOB	Haworthia	beaukmanii	Sun Love			
13B01		Haworthia	Beukmanii hyb.	Lyndsey			
13C01		Haworthia	mirabilis 'bobii'	Amy Qui			
13C02	MBB7248	Haworthia	mirabilis 'bobii'	Kambroo			
13D01		Haworthia	magnifica aff.	Kris T.			
13E01		Haworthia	retusa hyb.	Cary			
13F01	Chestnut	Haworthia	splendends	Kris T.			
20101	IB 8580	Haworthiopsis	nigra	IB		Immediately E of Adelaide	
20201	IB 6551	Haworthiopsis	coarctata	IB		8 km NW of Kasouga, on road from Kariega to Port Alfred	
20202	DMC 8514	Haworthiopsis	coarctata	IB		top of Swartwaterpoort, 4 km NW of road to Alicedale	
20203	DMC 09898	Haworthiopsis	coarctata	IB		Botha's Hill	
20301	IB 00634	Haworthiopsis	limifolia v. ubomboensis	IB		Uombo Mountains Swaziland	
20401	GM 258	Haworthiopsis	bruynsii	Kambroo		Springbokvlakte, South-East of Kleinpoort, Eastern Cape, South Africa	
20402	GM 258	Haworthiopsis	bruynsii	Kambroo		Springbokvlakte, South-East of Kleinpoort, Eastern Cape, South Africa	
20501		Haworthiopsis	sordida	Kambroo		Blueciff, Eastern Cape, South Africa	
20502		Haworthiopsis	sordida	Kambroo		Blueciff, Eastern Cape, South Africa	
20601	RIB056	Haworthiopsis	granulata	eBay		Verlatekloof, SW Sutherland	
30101	JIL	Astroloba	tenax	JIL		W. Vrischgewaagd	
40101	GM 679	Gasteria	brachyphylla v. bayeri	JIL		Rouxpos	
40201	IB 13594	Gasteria	bicolor	JIL		Bluewater Bay	
40301	CG	Gasteria	batesiana	JIL		Barberton	
40401	Samurai	Gasteria	carinata	eBay			
50101	GM	Tulista	kingiana	JIL		Rooiheuwel, N Klein Brak River	
50102	GM	Tulista	kingiana	JIL		Rooiheuwel, N Klein Brak River	
50201	JDV 88/20	Tulista	minima	JIL		N. Heidelberg	
50301	Donuts	Tulista	pumila	eBay			
50302	Donuts	Tulista	pumila	eBay			
50401	Tears of Angels	Tulista	hybrid	Vegbaby			
50402	Emperor	Tulista	hybrid	Sun Love			
50501	MBB 6629	Tulista	mortonii	Kambroo		E of Sandrift	
60101		Gastroloba	hybrid	Kambroo	A. bullata x G. batesiana		
